,album_name,artist
0,Indigo,Chris Brown
1,7 (EP),Lil Nas X
2,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
3,'Let's Rock',The Black Keys
4,Acid Rap,Chance The Rapper
5,Free Spirit,Khalid
6,Cuz I Love You,Lizzo
7,Perfect Ten,Mustard
8,Oasis,J Balvin & Bad Bunny
9,Happiness Begins,Jonas Brothers
10,Baby On Baby,DaBaby
11,Spider-Man: Into The Spider-Verse,Soundtrack
12,This One's For You,Luke Combs
13,"Thank U, Next",Ariana Grande
14,Scorpion,Drake
15,beerbongs & bentleys,Post Malone
16,CASE STUDY 01,Daniel Caesar
17,Die A Legend,Polo G
18,Diamonds,Elton John
19,Father Of Asahd,DJ Khaled
20,Bandana,Freddie Gibbs & Madlib
21,Dan + Shay,Dan + Shay
22,Hoodie SZN,A Boogie Wit da Hoodie
23,ASTROWORLD,Travis Scott
24,Bohemian Rhapsody (Soundtrack),Queen
25,A Star Is Born (Soundtrack),Lady Gaga & Bradley Cooper
26,Dont Smile At Me,Billie Eilish
27,Death Race For Love,Juice WRLD
28,The Prequel (EP),Luke Combs
29,Championships,Meek Mill
30,IGOR,"Tyler, The Creator"
31,Invasion Of Privacy,Cardi B
32,÷ (Divide),Ed Sheeran
33,Center Point Road,Thomas Rhett
34,If I Know Me,Morgan Wallen
35,Delusions Of Grandeur,Gucci Mane
36,Stoney,Post Malone
37,Goodbye & Good Riddance,Juice WRLD
38,American Teen,Khalid
39,Hamilton: An American Musical,Original Broadway Cast Recording
40,The Greatest Showman,Soundtrack
41,Aladdin (2019),Soundtrack
42,1,The Beatles
43,Pray For The Wicked,Panic! At The Disco
44,Help Us Stranger,The Raconteurs
45,Coloring Book,Chance The Rapper
46,Victory Lap,Nipsey Hussle
47,Fever,Megan Thee Stallion
48,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty
49,Drip Harder,Lil Baby & Gunna
50,The Best Of Everything,Tom Petty And The Heartbreakers
51,?,XXXTENTACION
52,Legend: The Best Of...,Bob Marley And The Wailers
53,Traveller,Chris Stapleton
54,Greatest Hits,Queen
55,4REAL 4REAL,YG
56,Shawn Mendes,Shawn Mendes
57,X 100PRE,Bad Bunny
58,Journey's Greatest Hits,Journey
59,Western Stars,Bruce Springsteen
60,Africa Speaks,Santana
61,Rearview Town,Jason Aldean
62,Evolve,Imagine Dragons
63,Greatest Hits So Far...,Zac Brown Band
64,Map Of The Soul: PERSONA,BTS
65,I Am > I Was,21 Savage
66,Abbey Road,The Beatles
67,650Luc: Gangsta Grillz,YFN Lucci
68,Experiment,Kane Brown
69,Ella Mai,Ella Mai
70,Curtain Call: The Hits,Eminem
71,BTS WORLD,Soundtrack
72,10 Day,Chance The Rapper
73,Confessions Of A Dangerous Mind,Logic
74,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
75,Look Up Child,Lauren Daigle
76,Views,Drake
77,GIRL,Maren Morris
78,DAMN.,Kendrick Lamar
79,Bad Habits,NAV
80,The Essential Billy Joel,Billy Joel
81,Sweetener,Ariana Grande
82,43VA HEARTLESS,Moneybagg Yo
83,Drip Or Drown 2,Gunna
84,Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys
85,Hurts 2B Human,P!nk
86,Luv Is Rage 2,Lil Uzi Vert
87,HOMECOMING: THE LIVE ALBUM,Beyonce
88,Wildboy,Calboy
89,Kane Brown,Kane Brown
90,Can't Say I Ain't Country,Florida Georgia Line
91,Moana,Soundtrack
92,Take Care,Drake
93,Tha Carter V,Lil Wayne
94,Greatest Hits,2Pac
95,Greatest Hits,Guns N' Roses
96,FATHER OF 4,Offset
97,All Time Greatest Hits,Lynyrd Skynyrd
98,World War Joy (EP),The Chainsmokers
99,Perception,NF
100,Rumours,Fleetwood Mac
101,Dying To Live,Kodak Black
102,More Life,Drake
103,Their Greatest Hits 1971-1975,Eagles
104,Trench,twenty one pilots
105,Greatest Hits,Bob Seger & The Silver Bullet Band
106,CrasH Talk,ScHoolboy Q
107,Harder Than Ever,Lil Baby
108,17,XXXTENTACION
109,Cosmic,Bazzi
110,California Sunrise,Jon Pardi
111,Love Yourself: Answer,BTS
112,LoVE me NOw?,Tory Lanez
113,Culture II,Migos
114,reputation,Taylor Swift
115,Legendary,Tyga
116,Blurryface,twenty one pilots
117,Street Gossip,Lil Baby
118,Back In Black,AC/DC
119,The Essential Michael Jackson,Michael Jackson
120,TIM,Avicii
121,Long Live Mexico,Lil Keed
122,Scriptures,Tee Grizzley
123,Marshmello: Fortnite Extended Set,Marshmello
124,Feed Tha Streets II,Roddy Ricch
125,Cry Pretty,Carrie Underwood
126,Kamikaze,Eminem
127,Stranger Songs,Ingrid Michaelson
128,H.E.R.,H.E.R.
129,SHE IS COMING (EP),Miley Cyrus
130,Sublime,Sublime
131,The Very Best Of The Eagles,Eagles
132,x,Ed Sheeran
133,Life Changes,Thomas Rhett
134,2014 Forest Hills Drive,J. Cole
135,24K Magic,Bruno Mars
136,I Am You,YNW Melly
137,Realer,YoungBoy Never Broke Again
138,Night Visions,Imagine Dragons
139,Originals,Prince
140,1989,Taylor Swift
141,Greatest Hits,The Notorious B.I.G.
142,Starboy,The Weeknd
143,Greatest Hits,Red Hot Chili Peppers
144,Origins,Imagine Dragons
145,Lee Brice,Lee Brice
146,Reloaded: 20 #1 Hits,Blake Shelton
147,Golden Hour,Kacey Musgraves
148,Hardwired...To Self-Destruct,Metallica
149,Swimming,Mac Miller
150,ANTI,Rihanna
151,"good kid, m.A.A.d city",Kendrick Lamar
152,Joytime III,Marshmello
153,The Beatles [White Album],The Beatles
154,Red Pill Blues,Maroon 5
155,Girl Code,City Girls
156,Ctrl,SZA
157,Camila,Camila Cabello
158,Gold: Greatest Hits,ABBA
159,Beauty Behind The Madness,The Weeknd
160,Hot Rocks 1964-1971,The Rolling Stones
161,Mothership,Led Zeppelin
162,Die Lit,Playboi Carti
163,Illuminate,Shawn Mendes
164,Not All Heroes Wear Capes,Metro Boomin
165,Queen,Nicki Minaj
166,Until Death Call My Name,YoungBoy Never Broke Again
167,Number One Hits,Tim McGraw
168,The Dirt (Soundtrack),Motley Crue
169,Desperate Man,Eric Church
170,Brett Young,Brett Young
171,Expectations,Bebe Rexha
172,Trapstar Turnt Popstar,PnB Rock
173,We All Shine,YNW Melly
174,BALLADS 1,Joji
175,Only The Generals Gon Understand (EP),Kevin Gates
176,KOD,J. Cole
177,A Decade Of Destruction,Five Finger Death Punch
178,Nothing Was The Same,Drake
179,Birds In The Trap Sing McKnight,Travis Scott
180,Honk,The Rolling Stones
181,Greatest Hits: The Ultimate Collection,Bon Jovi
182,The Very Best Of Daryl Hall  John Oates,Daryl Hall John Oates
183,50 Number Ones,George Strait
184,Here's To The Good Times,Florida Georgia Line
185,Youngblood,5 Seconds Of Summer
186,Anima,Thom Yorke
187,Thriller,Michael Jackson
188,Future Hndrxx Presents: The WIZRD,Future
189,FRIENDS KEEP SECRETS (EP),benny blanco
190,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston
191,hopeless fountain kingdom,Halsey
192,Yesterday (Soundtrack),Himesh Patel
193,Ride Me Back Home,Willie Nelson
194,Freudian,Daniel Caesar
195,Aerosmith's Greatest Hits,Aerosmith
196,SAVE ME (EP),Future
197,Heartbreak On A Full Moon,Chris Brown
198,In The Lonely Hour,Sam Smith
199,Greatest Hits 1974-78,The Steve Miller Band
252,Red Bandana,Aaron Watson
260,Late Night Feelings,Mark Ronson
264,Harold Saul High,Koe Wetzel
270,Greatest Hits,Fleetwood Mac
276,Madame X,Madonna
292,Greatest Hits,Tom Petty And The Heartbreakers
306,The Life Of Pi'erre 4,Pi'erre Bourne
325,The One,Trina
357,The Essential Alan Jackson,Alan Jackson
366,Doom Days,Bastille
371,Greatest Hits,Motley Crue
380,21,Adele
381,Lemonade,Beyonce
382,Rocketman: Music From The Motion Picture,Soundtrack
383,Rise,Hollywood Vampires
385,Doo-Wops & Hooligans,Bruno Mars
386,Blonde,Frank Ocean
388,Northsbest,Lil Mosey
390,Father Of The Bride,Vampire Weekend
391,Greatest Hits,Train
392,"13 Reasons Why, Season 2",Soundtrack
395,Dangerous Woman,Ariana Grande
397,From The Neighborhood To The Stage,Quando Rondo
398,Ultimate Sinatra,Frank Sinatra
438,Gold & Grey,Baroness
476,Diaspora,GoldLink
521,The Peace Project,Hillsong Worship
524,Orion,X Ambassadors
530,People,Hillsong UNITED
547,The Essential Elvis Presley,Elvis Presley
550,"Turn Off The News, Build A Garden",Lukas Nelson & Promise Of The Real
557,Rhino's Choice,Dave Matthews Band
570,Paranoia,Money Man
574,Simon And Garfunkel's Greatest Hits,Simon & Garfunkel
580,Shelby,Lil Skies
586,11:11,Maluma
589,Metallica,Metallica
591,MTV Unplugged In New York,Nirvana
594,STOKELEY,Ski Mask The Slump God
596,Guardians Of The Galaxy: Awesome Mix Vol. 1,Soundtrack
598,The Dark Side Of The Moon,Pink Floyd
626,Disguise,Motionless In White
682,Widow's Weeds,Silversun Pickups
699,The Rolling Thunder Revue: The 1975 Live Recordings (Soundtrack),Bob Dylan
707,Tuscaloosa,Neil Young & Stray Gators
734,ZUU,Denzel Curry
737,Nevermind,Nirvana
764,Super Show! Television Soundtrack: Volume One,The Aquabats!
775,Unapologetically,Kelsea Ballerini
781,Aura,Ozuna
782,All Blues,Peter Frampton Band
785,The World Is Yours 2,Rich The Kid
788,Sensational,Yung Gravy
790,Chon,Chon
795,A Love Letter To You 3,Trippie Redd
796,Luca Brasi 3,Kevin Gates
798,Flower Boy,"Tyler, The Creator"
799,Aoxomoxoa,Grateful Dead
819,Long Live Love,Kirk Franklin
902,The Traveler,The Kenny Wayne Shepherd Band
913,El Capo,Jim Jones
925,2WAYMIRROR,Gabbie Hanna
969,The Backend Child,NoCap
971,"Wasteland, Baby!",Hozier
973,Life's A Trip,Trippie Redd
978,Tangled Up,Thomas Rhett
984,Gangalee,Farruko
989,"Black Panther: The Album, Music From And Inspired By",Soundtrack
990,A Place We Knew,Dean Lewis
992,Only Human,Calum Scott
997,The Life Of Pablo,Kanye West
998,Signed To The Streets 3,Lil Durk
999,Odisea,Ozuna
1010,NCT #127 WE ARE SUPERHUMAN: The 4 Mini Album (EP),NCT 127
1028,Escape From New York,Beast Coast
1044,Flamagra,Flying Lotus
1092,40,Stray Cats
1094,California Son,Morrissey
1099,I Am Easy To Find,The National
1113,RAMMSTEIN,Rammstein
1127,35 Biggest Hits,Tim McGraw
1144,My Songs,Sting
1152,34 Number Ones,Alan Jackson
1159,Apollo XXI,Steve Lacy
1172,Ocean,Karol G
1177,Crash My Party,Luke Bryan
1181,Dedicated,Carly Rae Jepsen
1189,Shea Butter Baby,Ari Lennox
1192,Life Of A Dark Rose,Lil Skies
1194,Montevallo,Sam Hunt
1195,Playboi Carti,Playboi Carti
1196,Last Day Of Summer,Summer Walker
1197,4Respect 4Freedom 4Loyalty 4WhatImportant,YoungBoy Never Broke Again
1199,Tina Snow,Megan Thee Stallion
1215,Living Mirage,The Head And The Heart
1269,Endless Pain,JayDaYoungan
1294,Game Of Thrones: Music From The HBO Series Season 8,Soundtrack
1301,Ventura,Anderson .Paak
1302,Space Between,Sammy Hagar & The Circle
1352,BIG 4x,Stunna 4 Vegas
1359,Sli'merre,Young Nudy & Pi'erre Bourne
1371,Honky Tonk Time Machine,George Strait
1372,The Voice: The Complete Season 16 Collection (EP),Maelyn Jarmon
1387,T R A P S O U L,Bryson Tiller
1391,Neotheater,AJR
1392,Badlands,Halsey
1393,While We Wait,Kehlani
1399,Drip Season 3,Gunna
1405,Greatest Hits I II & III: The Platinum Collection,Queen
1409,Here Comes The Cowboy,Mac DeMarco
1419,United,newsboys
1445,Beautiful Trauma,P!nk
1486,Beauty Marks,Ciara
1489,OPUS,Marc Anthony
1510,Harry Styles,Harry Styles
1530,Flesh & Blood,Whitesnake
1554,NOW 70,Various Artists
1570,Reboot,Brooks & Dunn
1583,Purpose,Justin Bieber
1585,The Fame,Lady Gaga
1586,DUMMY BOY,6ix9ine
1591,Famous Cryp,Blueface
1595,Rap Or Go To The League,2 Chainz
1599,Man On The Moon: The End Of Day,Kid Cudi
1617,Pep Talks,Judah & The Lion
1623,A Thousand More,Thrive Worship
1633,"Dave's Picks Volume 30: Fillmore East, New York, NY - 1/2/70",Grateful Dead
1635,Dancing Queen,Cher
1646,Berserker,Amon Amarth
1672,Age Of Unreason,Bad Religion
1732,From The Screen To Your Stereo 3,New Found Glory
1741,U.F.O.F.,Big Thief
1749,Chip Tooth Smile,Rob Thomas
1771,For The Throne: Music Inspired By The HBO Series Game Of Thrones,Various Artists
1786,Ugly Dolls,Soundtrack
1787,Ticket To L.A.,Brett Young
