,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Cuz I Love You,5gkFxBuUuASmNtmq0T5xSu,0.566,0.66,1,-4.039,1,0.0479,0.0156,0.0,0.234,0.52,162.159,179979,3
1,Like A Girl,1Dd22oMwd0OlMYqRXGdObE,0.694,0.807,2,-3.183,1,0.0888,0.0167,0.0,0.547,0.797,144.031,184858,4
2,Juice,6EMWT7sZBvG0oxdh9KXbb4,0.767,0.889,7,-2.988,1,0.0963,0.00611,0.0,0.402,0.843,119.93,195145,4
3,Soulmate,003pNCocnkYPbl8V5pRYIW,0.693,0.849,7,-4.517,1,0.0892,0.00466,0.00127,0.503,0.767,99.021,175235,4
4,Jerome,4l21VaodybkZaNRqwzSBZl,0.674,0.542,8,-6.983,1,0.253,0.0476,0.0,0.0682,0.534,150.979,231571,3
5,Crybaby,6N84C07b0GNjLOUfUiW4j4,0.623,0.719,11,-3.331,0,0.0403,0.0383,0.0,0.247,0.722,131.027,175952,4
6,Tempo (feat. Missy Elliott),1Q0FDNRgl5sFN5aJctxk2G,0.833,0.722,1,-5.563,1,0.136,0.0573,1.14e-05,0.358,0.588,107.019,175343,4
7,Exactly How I Feel (feat. Gucci Mane),1IOST4IzZK644vqdEFkPzg,0.872,0.718,6,-3.238,0,0.229,0.114,0.0,0.333,0.833,112.981,143191,4
8,Better In Color,4hh3IoUWPySR2YXz8Gy2pr,0.702,0.928,7,-2.039,1,0.199,0.0353,3.02e-06,0.192,0.556,129.894,133059,4
9,Heaven Help Me,7oJf7PeBwMP7iFwyqfTfXa,0.67,0.725,0,-6.373,1,0.0972,0.0164,0.0,0.353,0.161,117.194,202321,4
10,Lingerie,5H95l4vkOHjGoTBPeav3ou,0.681,0.488,0,-5.314,1,0.152,0.215,0.000766,0.11,0.628,132.077,201619,4
11,Boys,1ITsmuChPVC05ogvorAyVu,0.891,0.587,6,-4.281,0,0.115,0.00317,0.000154,0.0487,0.753,120.029,172630,4
12,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,4
13,Water Me,3rmpb2RKPlbdbMjlc7SOlX,0.67,0.966,3,-1.994,0,0.177,0.0292,0.0,0.185,0.77,113.046,185595,4
