,failed_albums
0,Oasis J Balvin & Bad Bunny
1,Bandana Freddie Gibbs & Madlib
2,A Star Is Born (Soundtrack) Lady Gaga & Bradley Cooper
3,Hamilton: An American Musical Original Broadway Cast Recording
4,Aladdin (2019) Soundtrack
5,Chronicle The 20 Greatest Hits Creedence Clearwater Revival Featuring John Fogerty
6,Drip Harder Lil Baby & Gunna
7,World War Joy (EP) The Chainsmokers
8,Marshmello: Fortnite Extended Set Marshmello
9,SHE IS COMING (EP) Miley Cyrus
10,Gold: Greatest Hits ABBA
11,Only The Generals Gon Understand (EP) Kevin Gates
12,FRIENDS KEEP SECRETS (EP) benny blanco
13,SAVE ME (EP) Future
14,Greatest Hits 1974-78 The Steve Miller Band
15,Rocketman: Music From The Motion Picture Soundtrack
16,Rhino's Choice Dave Matthews Band
17,Guardians Of The Galaxy: Awesome Mix Vol. 1 Soundtrack
18,The Rolling Thunder Revue: The 1975 Live Recordings (Soundtrack) Bob Dylan
19,Tuscaloosa Neil Young & Stray Gators
20,Super Show! Television Soundtrack: Volume One The Aquabats!
21,"Black Panther: The Album, Music From And Inspired By Soundtrack"
22,NCT #127 WE ARE SUPERHUMAN: The 4 Mini Album (EP) NCT 127
23,Game Of Thrones: Music From The HBO Series Season 8 Soundtrack
24,Space Between Sammy Hagar & The Circle
25,Sli'merre Young Nudy & Pi'erre Bourne
26,The Voice: The Complete Season 16 Collection (EP) Maelyn Jarmon
27,"Dave's Picks Volume 30: Fillmore East, New York, NY - 1/2/70 Grateful Dead"
28,For The Throne: Music Inspired By The HBO Series Game Of Thrones Various Artists
29,Ugly Dolls Soundtrack
30,Nothing To Do Town (EP) Dylan Scott
31,Kill This Love (EP) BLACKPINK
32,"Fly Times, Volume 1: The Good Fly Young Wiz Khalifa"
33,"Warfield: San Francisco, California, October 9th, 1980 / October 10th, 1980 Grateful Dead"
34,Blood On The Tracks: Test Pressing Bob Dylan
35,Green Day Live!: Woodstock 1994 Green Day
36,Big Hits [High Tide And Green Grass] (UK) The Rolling Stones
37,The Alternate Fleetwood Mac Fleetwood Mac
38,His Majesty's Pop Life / The Purple Mix Club Prince
39,Live At Easy Street (EP) Pearl Jam
40,"Now That's What I Call Country, Volume 12 Various Artists"
41,The Marathon Nipsey Hussle
42,The Best Of Nickelback: Volume 1 Nickelback
43,Glotoven Chief Keef & Zaytoven
44,The Dream Chapter: STAR (EP) TOMORROW X TOGETHER
45,"XXXTENTACION Presents: Members Only, IV Various Artists"
46,The Rebirth II Eric Bellinger
47,The Best Of The '68 Comeback Special (Soundtrack) Elvis Presley
48,Elv1s: 30 #1 Hits Elvis Presley
49,Grammy Nominees 2019 Various Artists
50,"YBN: The Mixtape YBN Nahmir, YBN Almighty Jay & YBN Cordae"
51,"Come Over When You're Sober, Part 2 Lil Peep"
